"Sygnatura czasowa","Płeć","Wiek","Wykształcenie","Z jakich form nauki korzystasz?","Jak oceniasz poziom nauki informatyki w szkole?","Czy uważasz, że twój nauczyciel/ka z informatyki miał/a wystarczające kwalifikacje do nauki tego przedmiotu?","Które zagadnienia były omawiane na Twoich lekcjach informatyki? ","Czy uważasz, że darmowa platforma e-learningowa pomagająca w nauce do matury z informatyki jest potrzebna?","Czy przystępowałeś już do egzaminu maturalnego?","Czy roważałeś/aś kiedykolwiek związanie swojej kariery zawodowej z branżą IT?","Czy rozważałeś/aś podejście do matury w przyszłości?","Czy przystępowałeś do matury z informatyki?","Jeśli nie przystępowałeś do matury z informatyki, to dlaczego?","Do klasy o jakim profilu chodzisz?","Czy rozważasz swoją przyszłą karierę w IT?","Jakie przedmioty rozszerzone planujesz wybrać?","Czy uważasz, że zajęcia w szkole wystarczą do dobrego przygotowania do matury z informatyki?","Czy miałeś/aś możliwość wybrania rozszerzenia z informatyki? Czy w Twojej szkole istnieje klasa o profilu informatycznym?","Czy korzystasz z korepetycji z informatyki?","Jak często korzystałeś/aś lub korzystasz z podręcznika do informatyki?","Przygotowując się do tej matury jak często korzystałeś/aś lub korzystasz z materiałów dostępnych w internecie?","Jak oceniasz dostępność i jakość materiałów do nauki do matury z informatyki?","Czy materiały z których korzystasz są dostępne bezpłatnie?"
"2022/12/31 9:45:29 AM CET","Mężczyzna","Poniżej 18 roku życia","Średnie (liceum)","Tutoriale na YT","4","Tak","Obsługa edytorów tekstowych (Word);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Tak","Informatyka;Matematyka","Tak","Tak","Nie","1","5","5","Tak"
"2022/12/31 10:18:08 AM CET","Kobieta","18-26 lat","Średnie (liceum)","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","1","Nie","Obsługa edytorów tekstowych (Word);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL","Tak, to może być bardzo przydatne narzędzie","Tak","","","Nie","nie czułam się odpowiednio przygotowana przez szkole, a samej trudno było się uczyć ponieważ jest niewiele treści na ten temat w internecie","","","","","","","","","",""
"2022/12/31 10:21:43 AM CET","Kobieta","Poniżej 18 roku życia","Średnie (liceum)","Książki i podręczniki","5","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Strony internetowe (HTML, bez Java Script)","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Tak","Informatyka;Matematyka;Angielski","Nie dotyczy","Tak","Nie","1","5","3","Tak"
"2022/12/31 10:37:23 AM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Kursy online (płatne);Kursy online (bezpłatne);Strony i platformy e-learningowe","5","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe","Tak, ale sam bym z niej nie korzystał/a","","","","Tak","","","","","","","Nie","2","4","3","Tak"
"2022/12/31 11:12:12 AM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Kursy stacjonarne","3","Tak","Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Nieodpowiedni profil","","","","","","","","","",""
"2022/12/31 1:39:46 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Kursy stacjonarne;Strony i platformy e-learningowe","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Bazy danych (Access)","Tak, to może być bardzo przydatne narzędzie","","","","Tak","","","","","","","Nie","1","5","4","Różnie"
"2022/12/31 3:36:10 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT","2","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp)","Tak, ale sam bym z niej nie korzystał/a","","","","Nie","nie miałam rozszerzenia","","","","","","","","","",""
"2022/12/31 5:33:00 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Korepetycje;Kursy online (płatne);Kursy online (bezpłatne);Kursy stacjonarne;Strony i platformy e-learningowe;Bootcamp'y","2","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Arkusz kalkulacyjny (Excel);Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Nie leżała w zakresie moich zainteresowań","","","","","","","","","",""
"2022/12/31 6:36:04 PM CET","Mężczyzna","Poniżej 18 roku życia","Średnie (liceum)","Książki i podręczniki;Tutoriale na YT","4","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Tak","Informatyka;Matematyka;Fizyka","Nie","Tak","Nie","1","4","3","Tak"
"2022/12/31 6:55:21 PM CET","Kobieta","Powyżej 26 roku życia","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne);Bootcamp'y","2","Nie","Obsługa edytorów tekstowych (Word);Arkusz kalkulacyjny (Excel);Schematy blokowe","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Brak możliwości przygotowania","","","","","","","","","",""
"2023/01/01 6:49:15 AM CET","Mężczyzna","Powyżej 26 roku życia","Wyższe lub w trakcie studiów","Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne)","2","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Nie był to popularny kierunek rozszerzenia w mojej szkole. Nauka przedmiotu była na niskim poziomie. Osoby planujące iść na studia techniczne/informatyczne wybierały zwykle rozszerzoną matematykę i fizykę.","","","","","","","","","",""
"2023/01/01 8:49:36 AM CET","Kobieta","Powyżej 26 roku życia","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Bootcamp'y","2","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Miałam zbyt mała wiedzę, byłam na profilu humanistycznym i na informatyce miałam głównie Worda i excela, nauczycielka nawet nie wspominała że można zdawać maturę z tego przedmiotu ","","","","","","","","","",""
"2023/01/01 2:00:01 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Tutoriale na YT","2","Nie wiem","Obsługa edytorów tekstowych (Word);Arkusz kalkulacyjny (Excel)","Tak, ale sam bym z niej nie korzystał/a","","","","Nie","Nie wiąże z tym przyszłości ","","","","","","","","","",""
"2023/01/01 3:59:56 PM CET","Kobieta","Poniżej 18 roku życia","Średnie (liceum)","Książki i podręczniki;Tutoriale na YT;Korepetycje","2","Nie wiem","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Arkusz kalkulacyjny (Excel);Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","humanistyczna (polski / historia / wos )","Nie","Geografia","Nie dotyczy","Nie","Nie","1","1","3","W większości tak"
"2023/01/01 6:26:15 PM CET","Kobieta","18-26 lat","Podstawowe","Książki i podręczniki;Tutoriale na YT","2","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java)","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","mat-fiz / mat-fiz-inf / mat-inf","Może","Matematyka;Fizyka","Nie dotyczy","Tak","Nie","1","3","3","W większości tak"
"2023/01/01 7:08:24 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne)","5","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Programowanie (Pascal lub inne);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Nie, jest wystarczająco dużo takich platform","","","","Tak","","","","","","","Nie","2","4","5","Tak"
"2023/01/02 9:59:31 AM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Strony i platformy e-learningowe","2","Nie","Obsługa edytorów tekstowych (Word);Arkusz kalkulacyjny (Excel);Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Nie planowałam studiów w tym kierunku, więc nie widziałam potrzeby ","","","","","","","","","",""
"2023/01/02 1:59:22 PM CET","Mężczyzna","18-26 lat","Średnie (liceum)","Tutoriale na YT","3","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Cyberbezpieczeństwo","Tak, ale sam bym z niej nie korzystał/a","Tak","","","Tak","","","","","","","Nie","1","2","4","Tak"
"2023/01/02 3:05:25 PM CET","Kobieta","18-26 lat","Średnie (liceum)","Książki i podręczniki;Korepetycje","4","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","Tak","","","Nie","Znikome podejmowanie tematu przez nauczycieli.","","","","","","","","","",""
"2023/01/02 3:39:42 PM CET","Kobieta","18-26 lat","Podstawowe","Książki i podręczniki","2","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel);Cyberbezpieczeństwo","Tak, ale sam bym z niej nie korzystał/a","Nie, jeszcze się uczę","","","","","Technikum ekonomiczne","Nie","Matematyka","Nie","Tak","Nie","1","1","1","Różnie"
"2023/01/02 8:44:24 PM CET","Kobieta","18-26 lat","Średnie (liceum)","Książki i podręczniki;Korepetycje","4","Nie","Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","humanistyczna (polski / historia / wos )","Nie","Angielski ","Nie","Nie","Nie","3","4","2","W większości tak"
"2023/01/02 8:51:56 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Kursy online (bezpłatne);Strony i platformy e-learningowe","3","Nie wiem","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Nie miałam rozszerzenia z informatyki
Nie interesuje się nią ","","","","","","","","","",""
"2023/01/02 8:54:25 PM CET","Mężczyzna","18-26 lat","Średnie (technikum)","Kursy online (płatne);Kursy stacjonarne","2","Nie","Obsługa edytorów tekstowych (Word)","Tak, to może być bardzo przydatne narzędzie","Tak","","","Nie","Nie było mi to potrzebne do dalszej nauki","","","","","","","","","",""
"2023/01/02 8:58:06 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","3","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Matematyka i fizyka rozszerzona to i tak było sporo nauki","","","","","","","","","",""
"2023/01/02 8:58:12 PM CET","Mężczyzna","18-26 lat","Średnie (liceum)","Tutoriale na YT","2","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","Tak","","","Nie","Nie czułem się pewnie ","","","","","","","","","",""
"2023/01/02 8:58:35 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","2","Nie","Obsługa edytorów tekstowych (Word);Arkusz kalkulacyjny (Excel);Systemy liczbowe (binarny, szesnastkowy itd.);Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Nie rozszerzalem tego przedmiotu","","","","","","","","","",""
"2023/01/02 9:03:10 PM CET","Mężczyzna","18-26 lat","Zasadnicze zawodowe lub branżowe","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne)","2","Nie","Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","","Nie","Nie","","","","","","","","","","","",""
"2023/01/02 9:09:39 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne)","3","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, ale sam bym z niej nie korzystał/a","","","","Nie","Bo byłem dobry z fizyki","","","","","","","","","",""
"2023/01/02 9:19:56 PM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Strony i platformy e-learningowe","2","Nie wiem","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","nie lubiłem informatyki, byłem w tym kiepski","","","","","","","","","",""
"2023/01/02 9:26:54 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Strony i platformy e-learningowe","3","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Poziom lekcji z informatyki był na niskim poziomie, wszytkiego nauczyłam się wcześniej sama, wiem że nie zdałabym matury, choćbym chciała. ","","","","","","","","","",""
"2023/01/02 9:53:27 PM CET","Mężczyzna","18-26 lat","Średnie (technikum)","Tutoriale na YT;Korepetycje","1","Nie wiem","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java)","Nie, taka forma nauki nie ma sensu","Nie, skończyłem/am szkołę, ale nie podchodziłem/am do matury","Tak","Może","","","","","","","","Nie","1","1","2","Tak"
"2023/01/02 10:54:32 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Schematy blokowe;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, ale sam bym z niej nie korzystał/a","","","","Nie","W moim liceum nie było osób które do niej przystępowały, poziom zajęć z informatyki był bardzo niski. Uczyłam się wtedy na własną rękę ale uznałam że lepsze wyniki a co za tym idzie szanse na dostanie się na wybraną uczelnie osiągnę dzięki z maturze z fizyki i matematyki ","","","","","","","","","",""
"2023/01/02 10:55:49 PM CET","Kobieta","Poniżej 18 roku życia","Średnie (liceum)","Książki i podręczniki;Tutoriale na YT;Korepetycje;Kursy online (płatne)","1","Nie","Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","biol-chem / mat-biol / mat-chem","Nie","","Nie","Tak","Nie","1","4","2","Różnie"
"2023/01/02 11:26:05 PM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne)","2","Nie wiem","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Wynik z tego egzaminu nie był mi potrzebny w rekrutacji na wybrane studia ","","","","","","","","","",""
"2023/01/03 12:13:10 AM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT","4","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe;Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","","","","Tak","","","","","","","Nie","2","1","2","Różnie"
"2023/01/03 12:13:56 AM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT","1","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Przystępowałem do matury z Fizyki i Matematyki rozszerzonej, nie uważałem informatyki za potrzebnej","","","","","","","","","",""
"2023/01/03 12:14:47 AM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne);Strony i platformy e-learningowe","1","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access)","Tak, ale sam bym z niej nie korzystał/a","","","","Nie","","","","","","","","","","",""
"2023/01/03 12:17:04 AM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Dokumentacja","1","Nie","Obsługa edytorów tekstowych (Word);Arkusz kalkulacyjny (Excel)","Nie, jest wystarczająco dużo takich platform","","","","Nie","fatalny poziom informatyki w trakcie mojej obowiązkowej edukacji, co spowodowało że informatyką zająłem się dopiero przy wyborze kierunku na studia","","","","","","","","","",""
"2023/01/03 12:19:04 AM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT","3","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Algorytmika","Tak, ale sam bym z niej nie korzystał/a","","","","Nie","Ponieważ zrezygnowałem z rozszerzania informatyki w liceum, na rzecz skupienia się na fizyce oraz języku angielskim (po za matematyką)","","","","","","","","","",""
"2023/01/03 12:19:58 AM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Strony i platformy e-learningowe","3","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Programowanie (Pascal lub inne);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe","Tak, to może być bardzo przydatne narzędzie","","","","Tak","","","","","","","Nie","3","5","2","Tak"
"2023/01/03 12:29:21 AM CET","Mężczyzna","18-26 lat","Średnie (liceum)","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","2","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.);Sieci komputerowe","Tak, to może być bardzo przydatne narzędzie","Tak","","","Nie","1. Mialem profil bez rozszerzonej informatyki
2. W liceum byłem bardziej zainteresowany matematyką i fizyką (informatyka bardzo niewiele - prawie wcale)
3. I tak na wszystkie Polibudy na każdy kierunek liczy się matma i fizyka, reszta w zal. od konkretnego kierunku, więc tez nie bylo duzej potrzeby robic infy ","","","","","","","","","",""
"2023/01/03 12:34:23 AM CET","Mężczyzna","18-26 lat","Średnie (liceum)","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne);Strony i platformy e-learningowe","2","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","Nie, skończyłem/am szkołę, ale nie podchodziłem/am do matury","Tak","Może","","","","","","","","Nie","1","","1","Różnie"
"2023/01/03 12:36:41 AM CET","Kobieta","18-26 lat","Średnie (liceum)","Książki i podręczniki;Tutoriale na YT;Korepetycje;Kursy online (płatne);Kursy online (bezpłatne);Kursy stacjonarne;Strony i platformy e-learningowe","1","Nie","Programowanie (Python / C++ / Java)","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","humanistyczna (polski / historia / wos )","Nie","Hiszpanskii","Nie","Tak","Nie","1","5","1","Różnie"
"2023/01/03 12:56:49 AM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT","3","Tak","Obsługa edytorów tekstowych (Word);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, ale sam bym z niej nie korzystał/a","","","","Tak","","","","","","","Nie","1","5","4","Tak"
"2023/01/03 1:02:09 AM CET","Kobieta","18-26 lat","Średnie (technikum)","Książki i podręczniki;Tutoriale na YT;Korepetycje","1","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel);Cyberbezpieczeństwo","Tak, to może być bardzo przydatne narzędzie","Nie, jeszcze się uczę","","","","","","Nie","","Nie","Nie","Nie","1","4","2","Tak"
"2023/01/03 1:17:32 AM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Korepetycje;Kursy online (bezpłatne);Kursy stacjonarne;Strony i platformy e-learningowe","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Schematy blokowe;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","","","","Tak","","","","","","","Nie","1","3","3","W większości tak"
"2023/01/03 1:28:27 AM CET","Kobieta","18-26 lat","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne);Strony i platformy e-learningowe","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","Moje szkoła nie oferowała nauki rozszerzonej informatyki.","","","","","","","","","",""
"2023/01/03 1:31:36 AM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne)","3","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","","","","Tak","","","","","","","Nie","2","5","1","Tak"
"2023/01/03 1:42:54 AM CET","Mężczyzna","18-26 lat","Średnie (technikum)","Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne);Kursy stacjonarne;Strony i platformy e-learningowe;Bootcamp'y","2","Nie wiem","Programy graficzne (Paint, Gimp);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);SQL;Schematy blokowe;Sieci komputerowe","Nie, jest wystarczająco dużo takich platform","Tak","","","Tak","","","","","","","Nie","1","5","5","Tak"
"2023/01/03 2:19:19 AM CET","Kobieta","Powyżej 26 roku życia","Wyższe lub w trakcie studiów","Książki i podręczniki;Tutoriale na YT;Kursy online (bezpłatne)","2","Nie wiem","Obsługa edytorów tekstowych (Word);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","","","","Nie","","","","","","","","","","",""
"2023/01/03 2:26:15 AM CET","Mężczyzna","18-26 lat","Wyższe lub w trakcie studiów","Tutoriale na YT;Strony i platformy e-learningowe","3","Nie","Obsługa edytorów tekstowych (Word);Programowanie (Python / C++ / Java);Arkusz kalkulacyjny (Excel);Bazy danych (Access);Schematy blokowe;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, ale sam bym z niej nie korzystał/a","","","","Tak","","","","","","","Nie","1","3","4","Tak"
"2023/01/03 3:33:21 AM CET","Mężczyzna","18-26 lat","Średnie (liceum)","Książki i podręczniki;Tutoriale na YT;Kursy online (płatne);Kursy online (bezpłatne)","3","Tak","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Podstawy programowania (Logomocja, Scratch);Programowanie (Python / C++ / Java);SQL;Algorytmika;Systemy liczbowe (binarny, szesnastkowy itd.)","Tak, to może być bardzo przydatne narzędzie","Nie, skończyłem/am szkołę, ale nie podchodziłem/am do matury","Tak","Może","","","","","","","","Nie","1","3","2","W większości tak"
"2023/01/03 5:44:14 AM CET","Mężczyzna","18-26 lat","Średnie (liceum)","Książki i podręczniki;Tutoriale na YT","1","Nie","Obsługa edytorów tekstowych (Word);Programy graficzne (Paint, Gimp);Arkusz kalkulacyjny (Excel)","Tak, to może być bardzo przydatne narzędzie","Nie, skończyłem/am szkołę, ale nie podchodziłem/am do matury","Tak, aktualnie pracuję w IT","Nie","","","","","","","","","","","",""
